,id,barcode,amount,purchase_timestamp,type
0,0,5860198362558,$2.54,2023-01-01 08:23:30 -0500,vegetable
1,1,5094224872418,$3.14,2023-01-01 08:49:11 -0500,vegetable
2,2,0648518566368,$2.5,2023-01-01 08:10:01 -0500,bakery
3,3,8814675162633,$1.59,2023-01-01 08:44:28 -0500,vegetable
4,4,4295893163567,$1.55,2023-01-01 08:34:44 -0500,dairy
5,5,8786181237443,$2.03,2023-01-01 08:23:10 -0500,dairy
6,6,8304365733903,$2.05,2023-01-01 08:14:41 -0500,vegetable
7,7,1926912132501,$3.22,2023-01-01 08:43:29 -0500,bakery
8,8,0123682286477,$3.58,2023-01-01 08:43:21 -0500,dairy
9,9,1036167611963,$3.8,2023-01-01 09:52:58 -0500,dairy
10,10,3646522854225,$1.95,2023-01-01 09:46:22 -0500,dairy
11,11,9640086430660,$2.29,2023-01-01 09:54:45 -0500,bakery
12,12,0756978613130,$1.68,2023-01-01 09:31:33 -0500,dairy
13,13,9616523766319,$2.1,2023-01-01 09:11:18 -0500,bakery
14,14,8704753493660,$3.69,2023-01-01 09:39:25 -0500,vegetable
15,15,8787979911217,$2.64,2023-01-01 09:19:52 -0500,dairy
16,16,0573812522355,$3.43,2023-01-01 09:39:11 -0500,bakery
17,17,2639820858744,$3.4,2023-01-01 09:10:30 -0500,vegetable
18,18,3861576565075,$3.03,2023-01-01 10:33:05 -0500,dairy
19,19,2822532563895,$2.82,2023-01-01 10:36:55 -0500,vegetable
20,20,1944411344621,$1.62,2023-01-01 10:22:19 -0500,dairy
21,21,5962255173203,$3.73,2023-01-01 10:36:53 -0500,bakery
22,22,4630681796969,$3.71,2023-01-01 10:52:50 -0500,dairy
23,23,1444791953845,$2.49,2023-01-01 10:16:00 -0500,vegetable
24,24,0114136867731,$3.49,2023-01-01 10:10:09 -0500,bakery
25,25,8876643281968,$1.75,2023-01-01 10:43:39 -0500,bakery
26,26,4311339246783,$3.7,2023-01-01 10:25:52 -0500,dairy
27,27,8782253943571,$3.67,2023-01-01 11:10:41 -0500,vegetable
28,28,2890744909930,$3.47,2023-01-01 11:18:36 -0500,dairy
29,29,7675693367506,$1.86,2023-01-01 11:44:33 -0500,dairy
30,30,4153471872068,$2.66,2023-01-01 11:11:18 -0500,dairy
31,31,4817377228069,$3.61,2023-01-01 11:39:21 -0500,bakery
32,32,6436569249460,$1.65,2023-01-01 11:55:38 -0500,vegetable
33,33,7105340339308,$3.11,2023-01-01 11:14:25 -0500,bakery
34,34,8528496893231,$3.52,2023-01-01 11:02:13 -0500,dairy
35,35,7809522446104,$2.34,2023-01-01 11:16:03 -0500,dairy
36,36,5435677192966,$1.78,2023-01-01 12:08:32 -0500,bakery
37,37,0283560346874,$1.74,2023-01-01 12:20:55 -0500,vegetable
38,38,3556490912547,$3.55,2023-01-01 12:08:02 -0500,bakery
39,39,7636867476622,$3.39,2023-01-01 12:31:19 -0500,vegetable
40,40,3157013082633,$2,2023-01-01 12:00:57 -0500,bakery
41,41,1546787077563,$2.73,2023-01-01 12:41:50 -0500,bakery
42,42,4165857269126,$3.54,2023-01-01 12:58:38 -0500,dairy
43,43,1715406741349,$3.72,2023-01-01 12:55:14 -0500,dairy
44,44,7805842405401,$1.83,2023-01-01 12:38:43 -0500,bakery
45,45,8216873188376,$3.76,2023-01-01 13:44:36 -0500,dairy
46,46,4544601983134,$2.09,2023-01-01 13:15:04 -0500,vegetable
47,47,5640102698771,$2.27,2023-01-01 13:37:34 -0500,dairy
48,48,8837892664742,$3.8,2023-01-01 13:35:31 -0500,vegetable
49,49,0164168394033,$3.52,2023-01-01 13:46:39 -0500,bakery
50,50,7144435594314,$3.19,2023-01-01 13:54:21 -0500,bakery
51,51,3526254523364,$2.3,2023-01-01 13:12:38 -0500,bakery
52,52,8969833327062,$2.28,2023-01-01 13:39:45 -0500,dairy
53,53,0794364376689,$3.19,2023-01-01 13:09:55 -0500,vegetable
54,54,0830703870088,$2.39,2023-01-01 14:26:11 -0500,dairy
55,55,1479455702507,$2.84,2023-01-01 14:26:17 -0500,vegetable
56,56,8333512106239,$1.94,2023-01-01 14:43:02 -0500,bakery
57,57,3728945181598,$2.3,2023-01-01 14:38:56 -0500,bakery
58,58,2483651189931,$3.35,2023-01-01 14:40:48 -0500,dairy
59,59,8652082052747,$2.79,2023-01-01 14:02:54 -0500,vegetable
60,60,8725717045275,$2.04,2023-01-01 14:31:38 -0500,bakery
61,61,3906520661325,$2.02,2023-01-01 14:16:55 -0500,dairy
62,62,0234762238238,$2.24,2023-01-01 14:11:36 -0500,dairy
63,63,2997145148651,$1.79,2023-01-01 15:42:03 -0500,bakery
64,64,3632528553132,$2.71,2023-01-01 15:59:56 -0500,dairy
65,65,3950457686319,$2.5,2023-01-01 15:22:54 -0500,dairy
66,66,8967237908191,$1.95,2023-01-01 15:47:35 -0500,dairy
67,67,6935354022566,$2.82,2023-01-01 15:18:17 -0500,vegetable
68,68,3480139009568,$2.56,2023-01-01 15:42:22 -0500,vegetable
69,69,6287752147946,$3.16,2023-01-01 15:33:05 -0500,bakery
70,70,2345519298837,$1.97,2023-01-01 15:19:42 -0500,bakery
71,71,8343191371309,$2.64,2023-01-01 15:44:53 -0500,bakery
72,72,8066721687939,$2.84,2023-01-01 16:11:50 -0500,vegetable
73,73,5946193306848,$3.84,2023-01-01 16:33:54 -0500,bakery
74,74,3459979556600,$1.67,2023-01-01 16:38:36 -0500,bakery
75,75,0638167640205,$1.99,2023-01-01 16:56:15 -0500,vegetable
76,76,9971944132847,$3.45,2023-01-01 16:07:00 -0500,bakery
77,77,5799542384581,$2.99,2023-01-01 16:08:25 -0500,dairy
78,78,1243133883730,$3.87,2023-01-01 16:11:06 -0500,dairy
79,79,5486127763328,$2.23,2023-01-01 16:39:19 -0500,bakery
80,80,7123248128732,$3.01,2023-01-01 16:18:38 -0500,bakery
81,81,3123473896141,$1.69,2023-01-02 08:41:32 -0500,vegetable
82,82,7564411207128,$2.93,2023-01-02 08:25:15 -0500,dairy
83,83,2871784259766,$2.51,2023-01-02 08:09:18 -0500,bakery
84,84,2565297164135,$3.82,2023-01-02 08:48:25 -0500,vegetable
85,85,3957953354018,$2.81,2023-01-02 08:12:49 -0500,dairy
86,86,9194595839846,$2.66,2023-01-02 08:33:02 -0500,dairy
87,87,0947011517953,$2.3,2023-01-02 08:33:42 -0500,bakery
88,88,0022879748487,$2,2023-01-02 08:23:05 -0500,vegetable
89,89,3303845065584,$2.17,2023-01-02 08:33:41 -0500,bakery
90,90,8247549201563,$3.8,2023-01-02 09:38:40 -0500,vegetable
91,91,1295843447573,$2.48,2023-01-02 09:30:55 -0500,dairy
92,92,4040420321138,$1.66,2023-01-02 09:18:56 -0500,vegetable
93,93,0191294339249,$2.03,2023-01-02 09:29:29 -0500,bakery
94,94,6948980445104,$2.53,2023-01-02 09:02:21 -0500,vegetable
95,95,3643111312371,$1.6,2023-01-02 09:04:12 -0500,dairy
96,96,3116390943166,$3.72,2023-01-02 09:44:51 -0500,dairy
97,97,4177656974132,$3.18,2023-01-02 09:01:56 -0500,dairy
98,98,1656969082435,$2.76,2023-01-02 09:57:09 -0500,dairy
99,99,4245940377393,$1.6,2023-01-02 10:59:17 -0500,vegetable
100,100,8670912790324,$2.34,2023-01-02 10:57:43 -0500,dairy
101,101,1830105367482,$1.94,2023-01-02 10:35:17 -0500,bakery
102,102,2949717254840,$3.15,2023-01-02 10:02:06 -0500,dairy
103,103,7758867572279,$2.35,2023-01-02 10:20:04 -0500,bakery
104,104,1578729650640,$1.75,2023-01-02 10:42:40 -0500,vegetable
105,105,9618376666075,$2.47,2023-01-02 10:22:34 -0500,vegetable
106,106,9349706750606,$2.56,2023-01-02 10:11:51 -0500,vegetable
107,107,8234366373108,$1.69,2023-01-02 10:06:50 -0500,bakery
108,108,3260449358408,$3.65,2023-01-02 11:30:40 -0500,bakery
109,109,0770215339447,$1.69,2023-01-02 11:56:52 -0500,vegetable
110,110,3696126737981,$1.56,2023-01-02 11:13:06 -0500,vegetable
111,111,6868926033601,$2.21,2023-01-02 11:13:31 -0500,dairy
112,112,0633950560753,$3.44,2023-01-02 11:23:13 -0500,vegetable
113,113,2107213286394,$3.62,2023-01-02 11:08:06 -0500,vegetable
114,114,9010046558398,$2.93,2023-01-02 11:59:28 -0500,bakery
115,115,1706563030827,$2.75,2023-01-02 11:10:16 -0500,vegetable
116,116,4946656632249,$2.15,2023-01-02 11:52:11 -0500,bakery
117,117,0162241758529,$3.81,2023-01-02 12:58:28 -0500,dairy
118,118,4475806081588,$2.22,2023-01-02 12:56:20 -0500,bakery
119,119,7878051575470,$3.57,2023-01-02 12:59:36 -0500,bakery
120,120,6581229105898,$2.27,2023-01-02 12:01:48 -0500,vegetable
121,121,6897817824035,$1.6,2023-01-02 12:17:35 -0500,dairy
122,122,0011856349366,$2.62,2023-01-02 12:02:09 -0500,vegetable
123,123,9630433524517,$1.92,2023-01-02 12:03:00 -0500,dairy
124,124,4313527127881,$2.29,2023-01-02 12:25:46 -0500,bakery
125,125,7005962840995,$2.56,2023-01-02 12:35:00 -0500,bakery
126,126,9616530075848,$3.5,2023-01-02 13:53:24 -0500,bakery
127,127,5070720669349,$3.55,2023-01-02 13:17:43 -0500,bakery
128,128,3297855545603,$2.46,2023-01-02 13:47:21 -0500,bakery
129,129,8909673362243,$1.61,2023-01-02 13:36:20 -0500,bakery
130,130,3591833622660,$3.46,2023-01-02 13:29:00 -0500,vegetable
131,131,5344483557503,$3.77,2023-01-02 13:15:40 -0500,bakery
132,132,7939867335723,$2.44,2023-01-02 13:00:36 -0500,dairy
133,133,2274354975279,$2.87,2023-01-02 13:37:22 -0500,bakery
134,134,7068135753881,$1.73,2023-01-02 13:15:51 -0500,vegetable
135,135,6211382694099,$3.38,2023-01-02 14:29:59 -0500,bakery
136,136,2758522079612,$3.1,2023-01-02 14:42:14 -0500,bakery
137,137,8939220422939,$3.28,2023-01-02 14:31:32 -0500,bakery
138,138,2534160061048,$3.63,2023-01-02 14:21:40 -0500,dairy
139,139,8454210483986,$3.02,2023-01-02 14:33:56 -0500,dairy
140,140,3550088744596,$2.72,2023-01-02 14:07:43 -0500,dairy
141,141,3308922667125,$3.05,2023-01-02 14:19:38 -0500,dairy
142,142,3951883124956,$2.65,2023-01-02 14:23:15 -0500,vegetable
143,143,1351009983047,$2.72,2023-01-02 14:47:32 -0500,bakery
144,144,4071840736516,$1.63,2023-01-02 15:30:22 -0500,bakery
145,145,7769612084718,$3.8,2023-01-02 15:04:43 -0500,dairy
146,146,7924264932415,$2.57,2023-01-02 15:15:27 -0500,bakery
147,147,5950579918396,$3.56,2023-01-02 15:42:23 -0500,dairy
148,148,9239724579504,$2.06,2023-01-02 15:31:51 -0500,vegetable
149,149,9267809472280,$2.09,2023-01-02 15:26:55 -0500,vegetable
150,150,6666540448241,$2.57,2023-01-02 15:43:43 -0500,dairy
151,151,0879473534417,$3.14,2023-01-02 15:56:22 -0500,dairy
152,152,3819241371087,$2.28,2023-01-02 15:56:06 -0500,vegetable
153,153,9462139253756,$2.14,2023-01-02 16:13:11 -0500,bakery
154,154,9671336472574,$2.85,2023-01-02 16:01:48 -0500,vegetable
155,155,9992476759852,$2.98,2023-01-02 16:41:08 -0500,dairy
156,156,0188231208270,$3.26,2023-01-02 16:20:38 -0500,bakery
157,157,3096501193966,$2.85,2023-01-02 16:15:56 -0500,dairy
158,158,6310243618172,$3,2023-01-02 16:15:05 -0500,dairy
159,159,8079732838061,$2.45,2023-01-02 16:13:23 -0500,dairy
160,160,0741155790209,$1.86,2023-01-02 16:52:19 -0500,dairy
161,161,9215549304538,$1.82,2023-01-02 16:52:47 -0500,vegetable
162,162,8114153323335,$2.13,2023-01-03 08:41:59 -0500,vegetable
163,163,1637784562975,$2.42,2023-01-03 08:52:05 -0500,vegetable
164,164,9884786074230,$3.53,2023-01-03 08:42:19 -0500,dairy
165,165,5974591917045,$2.11,2023-01-03 08:11:56 -0500,dairy
166,166,6255893817363,$3.6,2023-01-03 08:19:51 -0500,vegetable
167,167,2118599753660,$1.76,2023-01-03 08:49:47 -0500,bakery
168,168,8540351649647,$3.04,2023-01-03 08:51:35 -0500,bakery
169,169,4677740001862,$1.66,2023-01-03 08:32:36 -0500,bakery
170,170,8879883503975,$3.48,2023-01-03 08:28:55 -0500,bakery
171,171,5993778188429,$2.36,2023-01-03 09:23:46 -0500,vegetable
172,172,6221562638362,$2.62,2023-01-03 09:08:43 -0500,vegetable
173,173,7892256675742,$3.03,2023-01-03 09:37:28 -0500,bakery
174,174,8224146478550,$2.11,2023-01-03 09:12:04 -0500,bakery
175,175,8641422867271,$3.23,2023-01-03 09:26:00 -0500,dairy
176,176,5228862735761,$2.11,2023-01-03 09:06:45 -0500,bakery
177,177,6270805373836,$3.05,2023-01-03 09:20:38 -0500,bakery
178,178,5736558724178,$2.56,2023-01-03 09:18:39 -0500,dairy
179,179,1280766668440,$3.76,2023-01-03 09:17:59 -0500,bakery
180,180,2937995385813,$2.5,2023-01-03 10:57:05 -0500,bakery
181,181,4610150440715,$3,2023-01-03 10:24:10 -0500,bakery
182,182,6936993607879,$3.64,2023-01-03 10:46:13 -0500,bakery
183,183,7186249619647,$3.22,2023-01-03 10:57:07 -0500,bakery
184,184,5738060942965,$3.43,2023-01-03 10:40:14 -0500,bakery
185,185,3748942125470,$2.7,2023-01-03 10:52:41 -0500,vegetable
186,186,1743777234412,$3.49,2023-01-03 10:16:14 -0500,bakery
187,187,0851828013907,$2.13,2023-01-03 10:24:39 -0500,vegetable
188,188,8910250007259,$2.47,2023-01-03 10:09:09 -0500,bakery
189,189,8470291934377,$2.98,2023-01-03 11:35:00 -0500,vegetable
190,190,3623691344955,$2.63,2023-01-03 11:25:00 -0500,bakery
191,191,1395367587752,$1.63,2023-01-03 11:14:22 -0500,dairy
192,192,0995540970718,$1.67,2023-01-03 11:58:30 -0500,vegetable
193,193,4133587271672,$3.28,2023-01-03 11:45:02 -0500,bakery
194,194,9510613394508,$2.8,2023-01-03 11:11:29 -0500,dairy
195,195,3954498764746,$3.27,2023-01-03 11:08:03 -0500,bakery
196,196,0982873137284,$3.58,2023-01-03 11:38:56 -0500,bakery
197,197,9236098304978,$2.6,2023-01-03 11:49:19 -0500,bakery
198,198,7617509431230,$3.57,2023-01-03 12:28:42 -0500,vegetable
199,199,0527685552551,$2.19,2023-01-03 12:36:58 -0500,bakery
200,200,3180520691043,$2.66,2023-01-03 12:16:00 -0500,dairy
201,201,8391818406682,$3.63,2023-01-03 12:33:19 -0500,vegetable
202,202,1381393601685,$3.02,2023-01-03 12:24:53 -0500,dairy
203,203,6754513166084,$2.95,2023-01-03 12:08:57 -0500,dairy
204,204,0809193658773,$2.33,2023-01-03 12:30:04 -0500,vegetable
205,205,6583959459371,$1.79,2023-01-03 12:43:28 -0500,vegetable
206,206,7690777383685,$2.94,2023-01-03 12:05:14 -0500,bakery
207,207,8336025344679,$2.53,2023-01-03 13:25:09 -0500,dairy
208,208,3807342104987,$2.88,2023-01-03 13:25:15 -0500,bakery
209,209,5941165323717,$2.3,2023-01-03 13:53:14 -0500,bakery
210,210,1081399188998,$1.91,2023-01-03 13:57:28 -0500,vegetable
211,211,1874940294954,$3.42,2023-01-03 13:07:01 -0500,bakery
212,212,0563856852051,$3.69,2023-01-03 13:15:01 -0500,bakery
213,213,1704565233529,$1.86,2023-01-03 13:26:34 -0500,vegetable
214,214,1237603248037,$1.63,2023-01-03 13:33:30 -0500,bakery
215,215,2420483914324,$1.9,2023-01-03 13:01:19 -0500,vegetable
216,216,3808600983016,$1.74,2023-01-03 14:38:11 -0500,dairy
217,217,8083876713917,$1.85,2023-01-03 14:51:06 -0500,vegetable
218,218,2050964781031,$3.54,2023-01-03 14:26:25 -0500,vegetable
219,219,8009640221150,$3.33,2023-01-03 14:58:19 -0500,vegetable
220,220,4748867770150,$3.6,2023-01-03 14:43:04 -0500,vegetable
221,221,8469255225804,$3.84,2023-01-03 14:43:31 -0500,dairy
222,222,5905907405536,$2.32,2023-01-03 14:39:27 -0500,bakery
223,223,6085148081351,$3.09,2023-01-03 14:01:29 -0500,vegetable
224,224,2596845529731,$2.64,2023-01-03 14:11:22 -0500,vegetable
225,225,0827186191007,$3.04,2023-01-03 15:58:54 -0500,dairy
226,226,3430394894881,$2.29,2023-01-03 15:08:30 -0500,bakery
227,227,1741016219961,$2.77,2023-01-03 15:25:56 -0500,dairy
228,228,7191342475342,$3.36,2023-01-03 15:43:11 -0500,bakery
229,229,4539907030651,$2.42,2023-01-03 15:03:50 -0500,vegetable
230,230,6542064686515,$1.83,2023-01-03 15:01:19 -0500,vegetable
231,231,8496124781499,$3.74,2023-01-03 15:43:24 -0500,dairy
232,232,3819697925704,$2.75,2023-01-03 15:52:52 -0500,dairy
233,233,7863875894289,$2.89,2023-01-03 15:49:27 -0500,dairy
234,234,8887529890594,$3.83,2023-01-03 16:45:03 -0500,bakery
